Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
37,Brandon Austin,eng ENG,GK,Tottenham,26-122,1999,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
38,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,27-271,1997,4.5,9,1.98,5,0,1,2,1,0,1,0.22,0,0,0,1,0,0,Matches
39,Yasin Ayari,se SWE,MF,Brighton,21-216,2003,19.5,58,2.97,35,11,3,3,4,2,6,0.31,4,2,0,0,0,0,Matches
40,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,33-241,1991,0.2,1,4.29,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
41,Jordan Ayew,gh GHA,"FW,MF",Leicester City,33-241,1991,15.8,35,2.21,22,7,2,3,0,1,2,0.13,1,0,0,1,0,0,Matches
42,Benoît Badiashile,fr FRA,DF,Chelsea,24-045,2001,3.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
43,Leon Bailey,jm JAM,"FW,MF",Aston Villa,27-274,1997,12.6,38,3.01,23,1,8,3,3,0,4,0.32,4,0,0,0,0,0,Matches
44,Carlos Baleba,cm CMR,MF,Brighton,21-127,2004,26.7,60,2.25,50,0,2,4,1,3,4,0.15,2,0,0,0,1,1,Matches
45,Ross Barkley,eng ENG,MF,Aston Villa,31-156,1993,6.3,18,2.84,15,1,2,0,0,0,3,0.47,3,0,0,0,0,0,Matches
46,Harvey Barnes,eng ENG,FW,Newcastle Utd,27-152,1997,16.7,57,3.40,40,1,6,5,5,0,9,0.54,6,0,1,1,1,0,Matches
47,Calvin Bassey,ng NGA,DF,Fulham,25-130,1999,32.2,23,0.72,19,1,2,0,0,1,3,0.09,2,0,0,0,0,1,Matches
48,Altay Bayındır,tr TUR,GK,Manchester Utd,27-026,1998,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
49,Jan Bednarek,pl POL,DF,Southampton,29-028,1996,27.1,16,0.59,15,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
