Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
81,Jens Cajuste,se SWE,MF,Ipswich Town,25-273,1999,27,23,1783,19.8,1,0,1,1,0,0,2,0,0.5,0.5,0.6,1.1,23,46,16,0.05,0.00,0.05,0.05,0.05,0.02,0.03,0.06,0.02,0.06,Matches
82,Riccardo Calafiori,it ITA,DF,Arsenal,22-356,2002,17,11,925,10.3,2,1,3,2,0,0,4,0,0.9,0.9,0.3,1.1,21,54,29,0.19,0.10,0.29,0.19,0.29,0.08,0.03,0.11,0.08,0.11,Matches
83,Dominic Calvert-Lewin,eng ENG,FW,Everton,28-055,1997,23,19,1588,17.6,3,1,4,3,0,0,2,0,6.2,6.2,0.6,6.8,22,19,107,0.17,0.06,0.23,0.17,0.23,0.35,0.04,0.38,0.35,0.38,Matches
84,Diego Carlos,br BRA,DF,Aston Villa,32-056,1993,10,8,830,9.2,0,0,0,0,0,0,1,0,0.6,0.6,0.0,0.6,3,34,0,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches
85,Fabio Carvalho,pt POR,"FW,MF",Brentford,22-253,2002,19,3,455,5.1,2,1,3,2,0,0,1,0,2.5,2.5,0.7,3.2,9,17,23,0.40,0.20,0.59,0.40,0.59,0.49,0.13,0.62,0.49,0.62,Matches
86,Casemiro,br BRA,MF,Manchester Utd,33-076,1992,22,16,1335,14.8,1,0,1,1,0,0,3,0,1.7,1.7,2.3,3.9,4,70,26,0.07,0.00,0.07,0.07,0.07,0.11,0.15,0.27,0.11,0.27,Matches
87,Kaelan Casey,eng ENG,DF,West Ham,20-194,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
88,Matty Cash,pl POL,DF,Aston Villa,27-276,1997,24,21,1800,20.0,1,1,2,1,0,0,6,0,0.3,0.3,1.1,1.4,46,39,75,0.05,0.05,0.10,0.05,0.10,0.02,0.05,0.07,0.02,0.07,Matches
89,Eiran Cashin,ie IRL,DF,Brighton,23-182,2001,2,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,6,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
90,Timothy Castagne,be BEL,DF,Fulham,29-156,1995,24,17,1649,18.3,0,1,1,0,0,0,1,0,0.4,0.4,1.2,1.6,17,62,67,0.00,0.05,0.05,0.00,0.05,0.02,0.07,0.09,0.02,0.09,Matches
91,Trevoh Chalobah,eng ENG,DF,Crystal Palace,25-309,1999,12,12,1060,11.8,3,0,3,3,0,0,1,0,1.2,1.2,0.4,1.6,11,34,6,0.25,0.00,0.25,0.25,0.25,0.10,0.03,0.14,0.10,0.14,Matches
92,Trevoh Chalobah,eng ENG,DF,Chelsea,25-309,1999,12,10,836,9.3,0,1,1,0,0,0,2,0,0.7,0.7,1.2,1.9,4,37,2,0.00,0.11,0.11,0.00,0.11,0.08,0.13,0.21,0.08,0.21,Matches
93,Conor Chaplin,eng ENG,"MF,FW",Ipswich Town,28-083,1997,19,8,712,7.9,1,1,2,1,0,0,2,0,1.2,1.2,0.7,1.9,11,26,20,0.13,0.13,0.25,0.13,0.25,0.15,0.09,0.24,0.15,0.24,Matches
94,Youssef Chermiti,pt POR,"FW,MF",Everton,20-351,2004,4,0,45,0.5,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,1,6,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.22,0.22,0.22,Matches
95,Federico Chiesa,it ITA,FW,Liverpool,27-197,1997,5,0,46,0.5,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,3,2,7,0.00,0.00,0.00,0.00,0.00,0.49,0.00,0.49,0.49,0.49,Matches
96,Ben Chilwell,eng ENG,DF,Crystal Palace,28-140,1996,6,0,139,1.5,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,2,3,10,0.00,0.00,0.00,0.00,0.00,0.05,0.13,0.18,0.05,0.18,Matches
97,Chiquinho,pt POR,MF,Wolves,25-094,2000,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.42,0.42,0.00,0.42,Matches
98,Hamza Choudhury,bd BAN,"MF,DF",Leicester City,27-221,1997,4,1,131,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,4,3,6,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.27,0.00,0.27,Matches
99,Ryan Christie,sct SCO,MF,Bournemouth,30-077,1995,29,27,2117,23.5,2,3,5,2,0,0,9,0,1.8,1.8,3.5,5.4,34,137,44,0.09,0.13,0.21,0.09,0.21,0.08,0.15,0.23,0.08,0.23,Matches
100,Harry Clarke,eng ENG,DF,Ipswich Town,24-069,2001,7,4,379,4.2,0,0,0,0,0,0,3,1,0.1,0.1,0.0,0.1,5,14,2,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
