Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
88,Matty Cash,pl POL,DF,Aston Villa,27-276,1997,20.0,642,811,79.2,10745,2984,312,346,90.2,272,340,80.0,46,88,52.3,1,1.1,1.2,-0.1,10,37,9,5,39,Matches
89,Eiran Cashin,ie IRL,DF,Brighton,23-182,2001,0.2,23,28,82.1,407,196,9,10,90.0,13,13,100.0,1,5,20.0,0,0.0,0.0,0.0,0,5,0,0,6,Matches
90,Timothy Castagne,be BEL,DF,Fulham,29-156,1995,18.3,780,953,81.8,12441,3910,397,442,89.8,328,382,85.9,37,75,49.3,1,1.2,0.6,-0.2,9,51,5,3,62,Matches
91,Trevoh Chalobah,eng ENG,DF,Crystal Palace,25-309,1999,11.8,349,442,79.0,6831,2195,125,141,88.7,178,209,85.2,42,82,51.2,0,0.4,0.3,-0.4,4,27,2,1,34,Matches
92,Trevoh Chalobah,eng ENG,DF,Chelsea,25-309,1999,9.3,568,633,89.7,9779,3124,253,267,94.8,276,290,95.2,35,66,53.0,1,1.2,0.3,-0.2,3,40,3,0,37,Matches
93,Conor Chaplin,eng ENG,"MF,FW",Ipswich Town,28-083,1997,7.9,186,256,72.7,2998,762,89,110,80.9,84,106,79.2,8,20,40.0,1,0.7,0.6,+0.3,8,20,7,2,26,Matches
94,Youssef Chermiti,pt POR,"FW,MF",Everton,20-351,2004,0.5,6,11,54.5,78,14,4,7,57.1,0,1,0.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
95,Federico Chiesa,it ITA,FW,Liverpool,27-197,1997,0.5,22,26,84.6,257,63,16,17,94.1,4,6,66.7,1,1,100.0,0,0.0,0.1,0.0,0,3,0,0,2,Matches
96,Ben Chilwell,eng ENG,DF,Crystal Palace,28-140,1996,1.5,45,69,65.2,618,155,26,31,83.9,16,25,64.0,1,9,11.1,0,0.2,0.3,-0.2,2,4,2,0,3,Matches
97,Chiquinho,pt POR,MF,Wolves,25-094,2000,0.1,3,3,100.0,71,22,1,1,100.0,1,1,100.0,1,1,100.0,0,0.0,0.0,0.0,1,0,1,1,0,Matches
98,Hamza Choudhury,bd BAN,"MF,DF",Leicester City,27-221,1997,1.5,72,84,85.7,991,249,47,50,94.0,23,29,79.3,2,4,50.0,0,0.4,0.2,-0.4,2,10,1,1,3,Matches
99,Ryan Christie,sct SCO,MF,Bournemouth,30-077,1995,23.5,837,1056,79.3,14882,4269,368,417,88.2,378,430,87.9,82,168,48.8,3,3.5,3.0,-0.5,41,118,33,5,137,Matches
100,Harry Clarke,eng ENG,DF,Ipswich Town,24-069,2001,4.2,190,236,80.5,3442,1226,87,95,91.6,77,88,87.5,23,40,57.5,0,0.0,0.1,0.0,1,21,1,0,14,Matches
