Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
95,Federico Chiesa,it ITA,FW,Liverpool,27-197,1997,0.5,0,0,0,2,1,0,2,0,0,0,0,0,4,0,1,0.0,Matches
96,Ben Chilwell,eng ENG,DF,Crystal Palace,28-140,1996,1.5,1,0,0,2,2,2,3,4,4,0,0,0,12,3,3,50.0,Matches
97,Chiquinho,pt POR,MF,Wolves,25-094,2000,0.1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,,Matches
98,Hamza Choudhury,bd BAN,"MF,DF",Leicester City,27-221,1997,1.5,0,0,0,1,0,0,5,5,1,0,0,0,2,0,0,,Matches
99,Ryan Christie,sct SCO,MF,Bournemouth,30-077,1995,23.5,9,0,0,43,31,1,48,30,33,0,0,0,182,20,28,41.7,Matches
100,Harry Clarke,eng ENG,DF,Ipswich Town,24-069,2001,4.2,3,1,1,5,1,0,5,4,3,0,1,0,17,10,4,71.4,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
101,Jack Clarke,eng ENG,"FW,MF",Ipswich Town,24-168,2000,11.7,2,0,0,15,21,3,13,7,17,0,0,0,67,7,14,33.3,Matches
102,Nathaniel Clyne,eng ENG,"DF,MF",Crystal Palace,34-035,1991,5.4,1,0,0,2,2,0,7,3,8,0,0,0,10,1,7,12.5,Matches
103,Conor Coady,eng ENG,DF,Leicester City,32-074,1993,16.0,2,0,0,7,2,1,0,13,8,0,2,0,50,13,19,40.6,Matches
104,Séamus Coleman,ie IRL,DF,Everton,36-211,1988,2.2,1,0,0,0,1,0,3,1,1,0,0,0,7,1,1,50.0,Matches
105,Nathan Collins,ie IRL,DF,Brentford,24-010,2001,35.0,5,0,0,24,28,6,7,32,22,2,0,0,149,112,60,65.1,Matches
106,Toby Collyer,eng ENG,MF,Manchester Utd,21-127,2004,2.0,0,0,0,2,4,0,0,2,9,0,0,0,17,3,1,75.0,Matches
107,Levi Colwill,eng ENG,DF,Chelsea,22-073,2003,32.0,8,0,0,42,19,4,13,32,30,0,1,0,110,76,51,59.8,Matches
108,Lewis Cook,eng ENG,"MF,DF",Bournemouth,28-096,1997,31.3,8,0,0,46,10,3,127,40,42,0,1,0,182,40,34,54.1,Matches
109,Maxwel Cornet,ci CIV,FW,Southampton,28-225,1996,0.8,1,0,0,0,1,1,3,0,5,0,0,0,2,3,0,100.0,Matches
110,Vladimír Coufal,cz CZE,DF,West Ham,32-261,1992,9.7,4,0,0,20,14,0,21,8,11,0,0,1,29,18,12,60.0,Matches
111,Woyo Coulibaly,fr FRA,DF,Leicester City,25-355,1999,1.2,1,0,0,2,1,0,0,5,4,0,0,0,14,0,3,0.0,Matches
112,Aaron Cresswell,eng ENG,DF,West Ham,35-146,1989,7.5,2,0,0,3,2,0,28,8,5,0,0,0,29,7,6,53.8,Matches
113,Marc Cucurella,es ESP,DF,Chelsea,26-292,1998,30.2,10,1,1,34,33,3,29,25,39,0,0,0,119,30,51,37.0,Matches
114,Jorge Cuenca,es ESP,DF,Fulham,25-174,1999,2.9,0,0,0,2,2,0,1,2,2,0,0,0,9,6,3,66.7,Matches
115,Matheus Cunha,br BRA,"MF,FW",Wolves,25-348,1999,26.9,3,0,0,41,69,8,123,17,21,0,0,0,123,10,27,27.0,Matches
