Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
150,Radu Drăgușin,ro ROU,DF,Tottenham,23-096,2002,13.9,10,6,8,2,0,6,12,50.0,6,22,16,6,15,25,49,4,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
151,Martin Dúbravka,sk SVK,GK,Newcastle Utd,36-115,1989,10.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,Matches
152,Lewis Dunk,eng ENG,DF,Brighton,33-170,1991,23.1,17,10,8,7,2,11,19,57.9,8,28,18,10,13,30,79,2,Matches
153,Jáder Durán,co COL,FW,Aston Villa,21-148,2003,7.1,8,7,1,2,5,1,4,25.0,3,5,0,5,0,8,13,0,Matches
154,Ederson,br BRA,GK,Manchester City,31-266,1993,22.8,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,9,2,Matches
155,George Edmundson,eng ENG,DF,Ipswich Town,27-252,1997,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
156,Odsonne Édouard,fr FRA,"MF,FW",Crystal Palace,27-114,1998,1.3,1,0,0,1,0,0,2,0.0,2,1,0,1,0,1,1,0,Matches
157,Odsonne Édouard,fr FRA,FW,Leicester City,27-114,1998,0.3,1,1,1,0,0,0,0,,0,0,0,0,0,1,1,0,Matches
158,Samuel Edozie,eng ENG,"DF,FW",Southampton,22-102,2003,0.7,3,1,0,1,2,2,2,100.0,0,0,0,0,0,3,0,0,Matches
159,Ronnie Edwards,eng ENG,DF,Southampton,22-043,2003,0.1,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,Matches
160,Anthony Elanga,se SWE,"FW,MF",Nott'ham Forest,23-013,2002,24.8,18,13,8,8,2,5,17,29.4,12,11,1,10,6,24,25,0,Matches
